日付,時間,時間帯,カテゴリ,商品,数量,価格設定,商品番号（SKU）,適用済みカスタマイズ,総売上高,ディスカウント,純売上高,税金,注文ID,支払いID,デバイス名,メモ,レシート詳細,支払/払戻,店舗,ダイニングオプション,顧客ID,顧客名,顧客リファレンスID,単位,件数,GTIN,商品の種類,発送メモ,チャネル,トークン,カード種別,使用カード末尾4桁
2026/01/01,01:24:00,日本,ドリンク,テスト商品_SKU0001,4,,SKU0001,,2872,0,2585,287,OID000012,PID000012,iPad,,https://example.test/txn/12,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,01:31:00,日本,ドリンク,テスト商品_SKU0007,4,,SKU0007,,1928,0,1735,193,OID000013,PID000013,iPad,,https://example.test/txn/13,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,01:38:00,日本,ドリンク,テスト商品_SKU0004,1,,SKU0004,,703,0,633,70,OID000014,PID000014,iPad,,https://example.test/txn/14,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,01:45:00,日本,ドリンク,テスト商品_SKU0001,3,,SKU0001,,2322,0,2090,232,OID000015,PID000015,iPad,,https://example.test/txn/15,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,01:52:00,日本,ドリンク,テスト商品_SKU0006,1,,SKU0006,,535,0,481,54,OID000016,PID000016,iPad,,https://example.test/txn/16,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,01:59:00,日本,ドリンク,テスト商品_SKU0002,4,,SKU0002,,1316,0,1184,132,OID000017,PID000017,iPad,,https://example.test/txn/17,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,02:06:00,日本,ドリンク,テスト商品_abc123,4,,abc123,,2480,0,2232,248,OID000018,PID000018,iPad,,https://example.test/txn/18,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,02:13:00,日本,ドリンク,テスト商品_SKU0015,3,,SKU0015,,858,0,772,86,OID000019,PID000019,iPad,,https://example.test/txn/19,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,02:20:00,日本,ドリンク,テスト商品_abc123,-1,,abc123,,-620,0,-558,-62,OID000020,PID000020,iPad,返品,https://example.test/txn/20,払い戻し,TestShop,,,,,単価,-1,,通常,,POS,,VISA,1234
2026/01/01,02:27:00,日本,ドリンク,テスト商品_SKU0020,1,,SKU0020,,919,0,827,92,OID000021,PID000021,iPad,,https://example.test/txn/21,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,02:34:00,日本,ドリンク,SKUなし商品,3,,,,1626,0,1463,163,OID000022,PID000022,iPad,,https://example.test/txn/22,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,02:41:00,日本,ドリンク,テスト商品_SKU0001,2,,SKU0001,,758,0,682,76,OID000023,PID000023,iPad,,https://example.test/txn/23,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,02:48:00,日本,ドリンク,テスト商品_SKU0024,3,,SKU0024,,1680,0,1512,168,OID000024,PID000024,iPad,,https://example.test/txn/24,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,02:55:00,日本,ドリンク,テスト商品_SKU0028,3,,SKU0028,,2382,0,2144,238,OID000025,PID000025,iPad,,https://example.test/txn/25,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,03:02:00,日本,ドリンク,テスト商品_SKU0027,5,,SKU0027,,2560,0,2304,256,OID000026,PID000026,iPad,,https://example.test/txn/26,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,03:09:00,日本,ドリンク,テスト商品_SKU0005,-1,,SKU0005,,-596,0,-536,-60,OID000027,PID000027,iPad,返品,https://example.test/txn/27,払い戻し,TestShop,,,,,単価,-1,,通常,,POS,,VISA,1234
2026/01/01,03:16:00,日本,ドリンク,テスト商品_SKU0024,1,,SKU0024,,374,0,337,37,OID000028,PID000028,iPad,,https://example.test/txn/28,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,03:23:00,日本,ドリンク,テスト商品_SKU0018,3,,SKU0018,,2910,0,2619,291,OID000029,PID000029,iPad,,https://example.test/txn/29,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,03:30:00,日本,ドリンク,テスト商品_SKU0020,-4,,SKU0020,,-1928,0,-1735,-193,OID000030,PID000030,iPad,返品,https://example.test/txn/30,払い戻し,TestShop,,,,,単価,-4,,通常,,POS,,VISA,1234
2026/01/01,03:37:00,日本,ドリンク,テスト商品_SKU0030,4,,SKU0030,,1184,0,1066,118,OID000031,PID000031,iPad,,https://example.test/txn/31,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,03:44:00,日本,ドリンク,テスト商品_SKU0028,1,,SKU0028,,433,0,390,43,OID000032,PID000032,iPad,,https://example.test/txn/32,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,03:51:00,日本,ドリンク,テスト商品_SKU0001,2,,SKU0001,,1388,0,1249,139,OID000033,PID000033,iPad,,https://example.test/txn/33,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,03:58:00,日本,ドリンク,テスト商品_SKU0002,5,,SKU0002,,1820,0,1638,182,OID000034,PID000034,iPad,,https://example.test/txn/34,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,04:05:00,日本,ドリンク,テスト商品_SKU0009,2,,SKU0009,,1610,0,1449,161,OID000035,PID000035,iPad,,https://example.test/txn/35,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,04:12:00,日本,ドリンク,テスト商品_abc123,-1,,abc123,,-620,0,-558,-62,OID000036,PID000036,iPad,返品,https://example.test/txn/36,払い戻し,TestShop,,,,,単価,-1,,通常,,POS,,VISA,1234
2026/01/01,04:19:00,日本,ドリンク,SKUなし商品,5,,,,2230,0,2007,223,OID000037,PID000037,iPad,,https://example.test/txn/37,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,04:26:00,日本,ドリンク,SKUなし商品,5,,,,2375,0,2137,238,OID000038,PID000038,iPad,,https://example.test/txn/38,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,04:33:00,日本,ドリンク,テスト商品_SKU0019,4,,SKU0019,,1656,0,1490,166,OID000039,PID000039,iPad,,https://example.test/txn/39,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,04:40:00,日本,ドリンク,テスト商品_SKU0005,1,,SKU0005,,441,0,397,44,OID000040,PID000040,iPad,,https://example.test/txn/40,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,04:47:00,日本,ドリンク,未登録商品_SKU9050,4,,SKU9050,,1496,0,1346,150,OID000041,PID000041,iPad,,https://example.test/txn/41,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,04:54:00,日本,ドリンク,SKUなし商品,1,,,,486,0,437,49,OID000042,PID000042,iPad,,https://example.test/txn/42,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,05:01:00,日本,ドリンク,テスト商品_SKU0017,4,,SKU0017,,1460,0,1314,146,OID000043,PID000043,iPad,,https://example.test/txn/43,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,05:08:00,日本,ドリンク,テスト商品_SKU0012,5,,SKU0012,,2955,0,2659,296,OID000044,PID000044,iPad,,https://example.test/txn/44,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,05:15:00,日本,ドリンク,テスト商品_SKU0029,3,,SKU0029,,1980,0,1782,198,OID000045,PID000045,iPad,,https://example.test/txn/45,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,05:22:00,日本,ドリンク,未登録商品_SKU9041,1,,SKU9041,,355,0,319,36,OID000046,PID000046,iPad,,https://example.test/txn/46,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,05:29:00,日本,ドリンク,テスト商品_SKU0005,5,,SKU0005,,3920,0,3528,392,OID000047,PID000047,iPad,,https://example.test/txn/47,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,05:36:00,日本,ドリンク,テスト商品_SKU0018,3,,SKU0018,,1101,0,991,110,OID000048,PID000048,iPad,,https://example.test/txn/48,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,05:43:00,日本,ドリンク,SKUなし商品,5,,,,4515,0,4063,452,OID000049,PID000049,iPad,,https://example.test/txn/49,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,05:50:00,日本,ドリンク,テスト商品_SKU0010,3,,SKU0010,,2133,0,1920,213,OID000050,PID000050,iPad,,https://example.test/txn/50,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,05:57:00,日本,ドリンク,未登録商品_SKU9042,4,,SKU9042,,1904,0,1714,190,OID000051,PID000051,iPad,,https://example.test/txn/51,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,06:04:00,日本,ドリンク,テスト商品_SKU0016,5,,SKU0016,,2260,0,2034,226,OID000052,PID000052,iPad,,https://example.test/txn/52,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,06:11:00,日本,ドリンク,SKUなし商品,4,,,,1648,0,1483,165,OID000053,PID000053,iPad,,https://example.test/txn/53,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,06:18:00,日本,ドリンク,テスト商品_SKU0007,5,,SKU0007,,3640,0,3276,364,OID000054,PID000054,iPad,,https://example.test/txn/54,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,06:25:00,日本,ドリンク,テスト商品_SKU0013,5,,SKU0013,,4480,0,4032,448,OID000055,PID000055,iPad,,https://example.test/txn/55,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,06:32:00,日本,ドリンク,テスト商品_SKU0029,-5,,SKU0029,,-3030,0,-2727,-303,OID000056,PID000056,iPad,返品,https://example.test/txn/56,払い戻し,TestShop,,,,,単価,-5,,通常,,POS,,VISA,1234
2026/01/01,06:39:00,日本,ドリンク,SKUなし商品,5,,,,1945,0,1751,194,OID000057,PID000057,iPad,,https://example.test/txn/57,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,06:46:00,日本,ドリンク,テスト商品_SKU0006,4,,SKU0006,,2520,0,2268,252,OID000058,PID000058,iPad,,https://example.test/txn/58,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,06:53:00,日本,ドリンク,テスト商品_SKU0003,-5,,SKU0003,,-2615,0,-2353,-262,OID000059,PID000059,iPad,返品,https://example.test/txn/59,払い戻し,TestShop,,,,,単価,-5,,通常,,POS,,VISA,1234
2026/01/01,07:00:00,日本,ドリンク,テスト商品_SKU0022,2,,SKU0022,,1300,0,1170,130,OID000060,PID000060,iPad,,https://example.test/txn/60,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,07:07:00,日本,ドリンク,テスト商品_SKU0018,-1,,SKU0018,,-934,0,-841,-93,OID000061,PID000061,iPad,返品,https://example.test/txn/61,払い戻し,TestShop,,,,,単価,-1,,通常,,POS,,VISA,1234
2026/01/01,07:14:00,日本,ドリンク,テスト商品_SKU0001,2,,SKU0001,,998,0,898,100,OID000062,PID000062,iPad,,https://example.test/txn/62,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,07:21:00,日本,ドリンク,テスト商品_SKU0009,2,,SKU0009,,1794,0,1615,179,OID000063,PID000063,iPad,,https://example.test/txn/63,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,07:28:00,日本,ドリンク,テスト商品_SKU0011,3,,SKU0011,,2442,0,2198,244,OID000064,PID000064,iPad,,https://example.test/txn/64,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,07:35:00,日本,ドリンク,テスト商品_SKU0030,2,,SKU0030,,1758,0,1582,176,OID000065,PID000065,iPad,,https://example.test/txn/65,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,07:42:00,日本,ドリンク,テスト商品_SKU0005,5,,SKU0005,,3475,0,3127,348,OID000066,PID000066,iPad,,https://example.test/txn/66,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,07:49:00,日本,ドリンク,テスト商品_SKU0012,5,,SKU0012,,1670,0,1503,167,OID000067,PID000067,iPad,,https://example.test/txn/67,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,07:56:00,日本,ドリンク,テスト商品_SKU0027,2,,SKU0027,,1846,0,1661,185,OID000068,PID000068,iPad,,https://example.test/txn/68,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,08:03:00,日本,ドリンク,SKUなし商品,5,,,,1455,0,1309,146,OID000069,PID000069,iPad,,https://example.test/txn/69,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,08:10:00,日本,ドリンク,テスト商品_SKU0017,1,,SKU0017,,903,0,813,90,OID000070,PID000070,iPad,,https://example.test/txn/70,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,08:17:00,日本,ドリンク,テスト商品_SKU0020,4,,SKU0020,,3876,0,3488,388,OID000071,PID000071,iPad,,https://example.test/txn/71,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,08:24:00,日本,ドリンク,テスト商品_SKU0029,4,,SKU0029,,1204,0,1084,120,OID000072,PID000072,iPad,,https://example.test/txn/72,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,08:31:00,日本,ドリンク,テスト商品_SKU0020,1,,SKU0020,,759,0,683,76,OID000073,PID000073,iPad,,https://example.test/txn/73,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,08:38:00,日本,ドリンク,テスト商品_SKU0011,2,,SKU0011,,864,0,778,86,OID000074,PID000074,iPad,,https://example.test/txn/74,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,08:45:00,日本,ドリンク,テスト商品_SKU0019,4,,SKU0019,,2020,0,1818,202,OID000075,PID000075,iPad,,https://example.test/txn/75,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,08:52:00,日本,ドリンク,テスト商品_SKU0003,1,,SKU0003,,869,0,782,87,OID000076,PID000076,iPad,,https://example.test/txn/76,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,08:59:00,日本,ドリンク,テスト商品_SKU0030,2,,SKU0030,,560,0,504,56,OID000077,PID000077,iPad,,https://example.test/txn/77,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,09:06:00,日本,ドリンク,テスト商品_SKU0010,1,,SKU0010,,408,0,367,41,OID000078,PID000078,iPad,,https://example.test/txn/78,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,09:13:00,日本,ドリンク,テスト商品_SKU0003,5,,SKU0003,,2030,0,1827,203,OID000079,PID000079,iPad,,https://example.test/txn/79,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,09:20:00,日本,ドリンク,テスト商品_SKU0006,4,,SKU0006,,2944,0,2650,294,OID000080,PID000080,iPad,,https://example.test/txn/80,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,09:27:00,日本,ドリンク,SKUなし商品,2,,,,1420,0,1278,142,OID000081,PID000081,iPad,,https://example.test/txn/81,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,09:34:00,日本,ドリンク,テスト商品_SKU0013,1,,SKU0013,,833,0,750,83,OID000082,PID000082,iPad,,https://example.test/txn/82,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,09:41:00,日本,ドリンク,テスト商品_SKU0016,4,,SKU0016,,2268,0,2041,227,OID000083,PID000083,iPad,,https://example.test/txn/83,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,09:48:00,日本,ドリンク,テスト商品_SKU0030,4,,SKU0030,,1748,0,1573,175,OID000084,PID000084,iPad,,https://example.test/txn/84,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,09:55:00,日本,ドリンク,テスト商品_SKU0016,5,,SKU0016,,3825,0,3443,382,OID000085,PID000085,iPad,,https://example.test/txn/85,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,10:02:00,日本,ドリンク,テスト商品_SKU0018,4,,SKU0018,,2384,0,2146,238,OID000086,PID000086,iPad,,https://example.test/txn/86,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,10:09:00,日本,ドリンク,未登録商品_SKU9026,5,,SKU9026,,1540,0,1386,154,OID000087,PID000087,iPad,,https://example.test/txn/87,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,10:16:00,日本,ドリンク,テスト商品_SKU0013,1,,SKU0013,,673,0,606,67,OID000088,PID000088,iPad,,https://example.test/txn/88,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,10:23:00,日本,ドリンク,テスト商品_abc123,5,,abc123,,3100,0,2790,310,OID000089,PID000089,iPad,,https://example.test/txn/89,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,10:30:00,日本,ドリンク,テスト商品_SKU0009,3,,SKU0009,,2340,0,2106,234,OID000090,PID000090,iPad,,https://example.test/txn/90,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,10:37:00,日本,ドリンク,テスト商品_SKU0002,1,,SKU0002,,837,0,753,84,OID000091,PID000091,iPad,,https://example.test/txn/91,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,10:44:00,日本,ドリンク,テスト商品_SKU0028,5,,SKU0028,,3150,0,2835,315,OID000092,PID000092,iPad,,https://example.test/txn/92,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,10:51:00,日本,ドリンク,テスト商品_SKU0029,5,,SKU0029,,3615,0,3253,362,OID000093,PID000093,iPad,,https://example.test/txn/93,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,10:58:00,日本,ドリンク,テスト商品_SKU0026,3,,SKU0026,,1521,0,1369,152,OID000094,PID000094,iPad,,https://example.test/txn/94,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,11:05:00,日本,ドリンク,テスト商品_SKU0003,5,,SKU0003,,3585,0,3227,358,OID000095,PID000095,iPad,,https://example.test/txn/95,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,11:12:00,日本,ドリンク,SKUなし商品,3,,,,1161,0,1045,116,OID000096,PID000096,iPad,,https://example.test/txn/96,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,11:19:00,日本,ドリンク,テスト商品_SKU0004,2,,SKU0004,,712,0,641,71,OID000097,PID000097,iPad,,https://example.test/txn/97,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,11:26:00,日本,ドリンク,テスト商品_SKU0020,1,,SKU0020,,444,0,400,44,OID000098,PID000098,iPad,,https://example.test/txn/98,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,11:33:00,日本,ドリンク,SKUなし商品,5,,,,4290,0,3861,429,OID000099,PID000099,iPad,,https://example.test/txn/99,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,11:40:00,日本,ドリンク,テスト商品_SKU0018,1,,SKU0018,,834,0,751,83,OID000100,PID000100,iPad,,https://example.test/txn/100,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,11:47:00,日本,ドリンク,テスト商品_SKU0016,1,,SKU0016,,280,0,252,28,OID000101,PID000101,iPad,,https://example.test/txn/101,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,11:54:00,日本,ドリンク,テスト商品_SKU0002,3,,SKU0002,,2490,0,2241,249,OID000102,PID000102,iPad,,https://example.test/txn/102,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,12:01:00,日本,ドリンク,テスト商品_SKU0022,5,,SKU0022,,3770,0,3393,377,OID000103,PID000103,iPad,,https://example.test/txn/103,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,12:08:00,日本,ドリンク,SKUなし商品,2,,,,1124,0,1012,112,OID000104,PID000104,iPad,,https://example.test/txn/104,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,12:15:00,日本,ドリンク,SKUなし商品,4,,,,3484,0,3136,348,OID000105,PID000105,iPad,,https://example.test/txn/105,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,12:22:00,日本,ドリンク,未登録商品_SKU9041,4,,SKU9041,,1368,0,1231,137,OID000106,PID000106,iPad,,https://example.test/txn/106,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,12:29:00,日本,ドリンク,テスト商品_SKU0028,-5,,SKU0028,,-2050,0,-1845,-205,OID000107,PID000107,iPad,返品,https://example.test/txn/107,払い戻し,TestShop,,,,,単価,-5,,通常,,POS,,VISA,1234
2026/01/01,12:36:00,日本,ドリンク,テスト商品_SKU0029,-5,,SKU0029,,-4245,0,-3821,-424,OID000108,PID000108,iPad,返品,https://example.test/txn/108,払い戻し,TestShop,,,,,単価,-5,,通常,,POS,,VISA,1234
2026/01/01,12:43:00,日本,ドリンク,テスト商品_SKU0028,1,,SKU0028,,469,0,422,47,OID000109,PID000109,iPad,,https://example.test/txn/109,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,12:50:00,日本,ドリンク,テスト商品_SKU0011,-3,,SKU0011,,-2766,0,-2489,-277,OID000110,PID000110,iPad,返品,https://example.test/txn/110,払い戻し,TestShop,,,,,単価,-3,,通常,,POS,,VISA,1234
2026/01/01,12:57:00,日本,ドリンク,SKUなし商品,1,,,,872,0,785,87,OID000111,PID000111,iPad,,https://example.test/txn/111,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,13:04:00,日本,ドリンク,テスト商品_SKU0026,2,,SKU0026,,704,0,634,70,OID000112,PID000112,iPad,,https://example.test/txn/112,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,13:11:00,日本,ドリンク,未登録商品_SKU9007,5,,SKU9007,,3190,0,2871,319,OID000113,PID000113,iPad,,https://example.test/txn/113,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,13:18:00,日本,ドリンク,未登録商品_SKU9002,3,,SKU9002,,2217,0,1995,222,OID000114,PID000114,iPad,,https://example.test/txn/114,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,13:25:00,日本,ドリンク,テスト商品_SKU0004,1,,SKU0004,,802,0,722,80,OID000115,PID000115,iPad,,https://example.test/txn/115,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,13:32:00,日本,ドリンク,テスト商品_SKU0004,3,,SKU0004,,1641,0,1477,164,OID000116,PID000116,iPad,,https://example.test/txn/116,取引,TestShop,,,,,単価,3,,通常,,POS,,VISA,1234
2026/01/01,13:39:00,日本,ドリンク,テスト商品_SKU0030,4,,SKU0030,,1892,0,1703,189,OID000117,PID000117,iPad,,https://example.test/txn/117,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,13:46:00,日本,ドリンク,未登録商品_SKU9025,4,,SKU9025,,2608,0,2347,261,OID000118,PID000118,iPad,,https://example.test/txn/118,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,13:53:00,日本,ドリンク,テスト商品_SKU0008,5,,SKU0008,,4640,0,4176,464,OID000119,PID000119,iPad,,https://example.test/txn/119,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,14:00:00,日本,ドリンク,SKUなし商品,5,,,,2500,0,2250,250,OID000120,PID000120,iPad,,https://example.test/txn/120,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,14:07:00,日本,ドリンク,テスト商品_SKU0012,5,,SKU0012,,4450,0,4005,445,OID000121,PID000121,iPad,,https://example.test/txn/121,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
